# Notes : Entity List : Filtered by Abundance (20000.0 - 17259352.0) in the Raw Data 
#Interpretation : Pre-Post
#Experiment : AQ pos unique to Salmon 100percent of files - found in plasma Quant
#Flag Value: [Present, Marginal]
#Entities where at least 2 out of 162 samples have flags in [Present, Marginal]
# Technology : MassHunterQuant.LCMS_IDENTIFIED_COMPOUNDS.AQ pos unique to Salmon 100% of files - found in plasma Quant_2021_Nov_19_09_47_22
# Owner : gxuser
# Created On : Fri Nov 19 09:59:14 MST 2021
Compound	Number Passed	report.results_1(raw)	report.results_10(raw)	report.results_100(raw)	report.results_101(raw)	report.results_102(raw)	report.results_103(raw)	report.results_104(raw)	report.results_105(raw)	report.results_106(raw)	report.results_107(raw)	report.results_108(raw)	report.results_109(raw)	report.results_11(raw)	report.results_110(raw)	report.results_111(raw)	report.results_112(raw)	report.results_113(raw)	report.results_114(raw)	report.results_115(raw)	report.results_116(raw)	report.results_117(raw)	report.results_118(raw)	report.results_119(raw)	report.results_12(raw)	report.results_120(raw)	report.results_121(raw)	report.results_122(raw)	report.results_123(raw)	report.results_124(raw)	report.results_125(raw)	report.results_126(raw)	report.results_127(raw)	report.results_128(raw)	report.results_129(raw)	report.results_13(raw)	report.results_130(raw)	report.results_131(raw)	report.results_132(raw)	report.results_133(raw)	report.results_134(raw)	report.results_135(raw)	report.results_136(raw)	report.results_137(raw)	report.results_138(raw)	report.results_139(raw)	report.results_14(raw)	report.results_140(raw)	report.results_141(raw)	report.results_142(raw)	report.results_143(raw)	report.results_144(raw)	report.results_145(raw)	report.results_146(raw)	report.results_147(raw)	report.results_148(raw)	report.results_149(raw)	report.results_15(raw)	report.results_150(raw)	report.results_151(raw)	report.results_152(raw)	report.results_153(raw)	report.results_154(raw)	report.results_155(raw)	report.results_156(raw)	report.results_157(raw)	report.results_158(raw)	report.results_159(raw)	report.results_16(raw)	report.results_160(raw)	report.results_161(raw)	report.results_162(raw)	report.results_163(raw)	report.results_164(raw)	report.results_165(raw)	report.results_17(raw)	report.results_18(raw)	report.results_19(raw)	report.results_2(raw)	report.results_20(raw)	report.results_21(raw)	report.results_22(raw)	report.results_23(raw)	report.results_24(raw)	report.results_25(raw)	report.results_26(raw)	report.results_27(raw)	report.results_28(raw)	report.results_29(raw)	report.results_3(raw)	report.results_30(raw)	report.results_31(raw)	report.results_32(raw)	report.results_33(raw)	report.results_34(raw)	report.results_35(raw)	report.results_36(raw)	report.results_37(raw)	report.results_38(raw)	report.results_39(raw)	report.results_40(raw)	report.results_41(raw)	report.results_42(raw)	report.results_43(raw)	report.results_44(raw)	report.results_45(raw)	report.results_46(raw)	report.results_47(raw)	report.results_48(raw)	report.results_49(raw)	report.results_5(raw)	report.results_50(raw)	report.results_51(raw)	report.results_52(raw)	report.results_53(raw)	report.results_54(raw)	report.results_55(raw)	report.results_56(raw)	report.results_57(raw)	report.results_58(raw)	report.results_59(raw)	report.results_6(raw)	report.results_60(raw)	report.results_61(raw)	report.results_62(raw)	report.results_63(raw)	report.results_64(raw)	report.results_65(raw)	report.results_66(raw)	report.results_67(raw)	report.results_68(raw)	report.results_69(raw)	report.results_7(raw)	report.results_71(raw)	report.results_72(raw)	report.results_73(raw)	report.results_74(raw)	report.results_75(raw)	report.results_76(raw)	report.results_78(raw)	report.results_79(raw)	report.results_8(raw)	report.results_80(raw)	report.results_81(raw)	report.results_82(raw)	report.results_83(raw)	report.results_84(raw)	report.results_85(raw)	report.results_86(raw)	report.results_87(raw)	report.results_88(raw)	report.results_89(raw)	report.results_9(raw)	report.results_90(raw)	report.results_91(raw)	report.results_92(raw)	report.results_93(raw)	report.results_94(raw)	report.results_95(raw)	report.results_96(raw)	report.results_97(raw)	report.results_98(raw)	report.results_99(raw)	report.results_Batch_1_Instrument_QC_5(raw)	report.results_Batch_1_Instrument_QC_6(raw)	report.results_Batch_1_Instrument_QC_7(raw)	report.results_Batch_1_Instrument_QC_8(raw)	report.results_Batch_2_Instrument_QC_5(raw)	report.results_Batch_2_Instrument_QC_6(raw)	report.results_Batch_2_Instrument_QC_7(raw)	report.results_Batch_2_Instrument_QC_8(raw)	report.results_Batch_2_Instrument_QC_9(raw)	report.results_Batch_3_Instrument_QC_5(raw)	report.results_Batch_3_Instrument_QC_6(raw)	report.results_Batch_3_Instrument_QC_7(raw)	report.results_Batch_3_Instrument_QC_8(raw)	report.results_Batch_3_Instrument_QC_9(raw)	report.results_Batch_4_Instrument_QC_10(raw)	report.results_Batch_4_Instrument_QC_5(raw)	report.results_Batch_4_Instrument_QC_6(raw)	report.results_Batch_4_Instrument_QC_7(raw)	report.results_Batch_4_Instrument_QC_8(raw)	report.results_Batch_4_Instrument_QC_9(raw)	report.results_Blank_Plus_Day_1(raw)	report.results_Blank_Plus_Day_4(raw)	report.results_Blank_Plus_Day_8(raw)	Retention Time	CASNumber	Product Mass	Compound Name	Mass Column	Measured Retention Time
LysoPC(18:1(9Z))	27	9502.1	1.0E-5	1.0E-5	7195.234	1.0E-5	26674.934	49110.918	26862.613	1.0E-5	1.0E-5	1.0E-5	1.0E-5	4689.816	1.0E-5	3248.6675	22357.303	1.0E-5	3348.5486	23888.656	5202.011	2450.422	1.0E-5	1.0E-5	1.0E-5	1.0E-5	2353.2344	1.0E-5	71781.73	1.0E-5	1.0E-5	1.0E-5	1.0E-5	6912.4263	23209.05	1.0E-5	1.0E-5	2722.99	1.0E-5	1.0E-5	8323.512	18998.125	1.0E-5	31744.887	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	6018.0093	1.0E-5	10511.882	11483.294	1.0E-5	1.0E-5	1353.8191	1.0E-5	1.0E-5	1.0E-5	1.0E-5	2135.377	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	27069.436	1.0E-5	3303.4148	1.0E-5	61879.785	1.0E-5	1.0E-5	18913.229	38076.637	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	13617.042	37517.69	1.0E-5	1.0E-5	1.0E-5	7454.6724	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	6085.0312	1.0E-5	6750.4854	135214.2	6465.2153	1.0E-5	44131.44	15423.66	1.0E-5	1.0E-5	52610.11	1.0E-5	1.0E-5	3157.065	1.0E-5	103602.414	1.0E-5	1.0E-5	71058.22	1.0E-5	1.0E-5	18775.102	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	11843.794	1.0E-5	18823.951	1.0E-5	1.0E-5	828.5275	1.0E-5	1.0E-5	2754.0725	1.0E-5	1.0E-5	1.0E-5	23342.186	1.0E-5	7397.6665	1.0E-5	73447.19	1.0E-5	1.0E-5	1.0E-5	2528.2136	1.0E-5	4066.101	1.0E-5	1.0E-5	37629.445	1.0E-5	1.0E-5	1.0E-5	1.0E-5	62336.258	31527.273	1.0E-5	10653.895	1.0E-5	1.0E-5	1.0E-5	4082.5857	174955.81	86224.01	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	4296.828	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	22072.736	1.0E-5	1.0E-5	68905.3	1.0E-5	1.0E-5	1.0E-5	1.0E-5	890.19403	684.4913	14.265	3542-29-8	522.3558	LysoPC(18:1(9Z))	0.0	
Glutarylcarnitine	158	17728.227	3042.1926	13847.928	3566.2817	5736.917	34294.47	8094.4834	13813.928	12317.711	10355.741	5193.206	6526.8154	1322.9418	4967.117	24575.535	5616.277	2208.8694	9939.839	24129.674	20209.893	29535.22	2467.9734	32111.348	1.0E-5	2180.6128	28009.645	9778.456	4507.8594	19303.027	20341.838	9656.016	13750.37	4742.033	10506.907	20171.498	22077.658	3281.4585	22925.76	12507.959	18234.525	7463.08	1.0E-5	6843.506	6725.262	4991.756	64139.832	5943.001	26531.951	50238.48	12046.746	13795.748	12159.649	20100.963	68552.664	15757.482	12750.19	4185.678	13340.021	27817.76	16989.754	16520.965	2821.4463	18865.586	11698.1875	1413.5973	17151.879	10150.968	18512.64	1263.2291	28016.812	2286.478	22436.9	16869.121	12225.666	8165.1914	6345.632	38470.28	4114.724	22736.957	3912.7373	1369.4894	3202.6697	17229.611	3078.5698	5083.2197	2088.0923	20565.84	9592.384	3550.0945	16307.042	9497.922	2471.654	13334.976	1907.3644	4932.609	12875.386	8113.8135	1403.0973	15614.62	21332.697	16230.066	1.0E-5	20169.107	10843.551	13030.015	2635.7964	17683.973	17900.293	1125.0737	20602.123	15969.114	4106.6626	1312.3492	11186.503	11578.328	10843.019	8666.255	5034.0312	3541.71	15942.371	13941.802	40401.883	4835.0474	1922.5336	3944.219	13292.573	25116.13	12047.381	20673.523	15343.341	8259.381	22055.234	10262.494	2384.172	15807.027	1377.2162	10951.011	1.0E-5	16369.962	13853.637	24081.871	3061.0156	4641.001	17064.32	22774.594	15667.928	19892.695	1312.3818	7215.06	8114.9185	8302.426	5099.1772	3849.7231	12113.687	14526.519	15955.234	6880.309	19592.926	7656.2764	2138.2961	26613.29	22934.557	3036.912	18140.275	13805.933	19993.074	1277.2954	16636.453	11428.763	14518.271	14519.572	16618.934	17585.756	18152.838	17440.48	18112.514	12926.616	11547.747	23806.086	19805.67	8693.722	16033.992	1.0E-5	1.0E-5	223.36244	1.9040002		275.1599	Glutarylcarnitine	0.0	1.7994334
C93 - 11.12	108	959.84766	943.52313	674.13513	1723.1619	1404.6896	1079.3405	1182.7168	2660.6665	2708.3816	1.0E-5	1.0E-5	1.0E-5	1386.31	1.0E-5	3576.8943	2123.3728	963.7981	1108.0419	59527.527	1.0E-5	1.0E-5	1309.5402	1347.5192	1003.61566	1.0E-5	3030.9277	1885.0504	3220.086	929.5125	1282.1907	6359.4336	927.687	4547.4653	1037.814	1.0E-5	6899.002	1.0E-5	8910.516	1202.2981	1.0E-5	742.14374	1037.1456	794.3951	1.0E-5	1070.8867	1005.8499	1602.006	1.0E-5	1599.9718	57044.86	1.0E-5	1.0E-5	91031.875	1021.19727	978.4177	1689.6974	446.87003	1565.5618	1538.9465	900.86194	1124.6254	9092.638	1022.0137	979.925	1136.2983	1710.3584	1380.362	1426.7965	3412.3293	939.7159	1.0E-5	1355.8234	4492.511	1043.1624	1947.6702	631.3699	7836.823	8077.265	1.0E-5	1.0E-5	4598.6665	1486.3856	3677.3474	1760.462	1114.9648	1.0E-5	1.0E-5	1216.1959	2142.0662	1.0E-5	15288.454	4201.0635	1.0E-5	2412.739	2359.245	1.0E-5	1.0E-5	4178.335	1276.7009	1288.8859	9331.813	1705.8368	4305.743	3057.4138	3063.1665	1968.0378	3141.0854	1.0E-5	10611.221	578.5707	6338.326	934.4719	5135.8037	2267.6416	860.21454	872.94257	2402.1042	30158.482	1463.4462	3933.8623	6031.721	1392.5714	5002.999	1333.4918	7548.054	48702.082	2264.0142	922.82404	1.0E-5	6932.27	2462.2634	1742.2465	1504.1471	6033.04	476.33804	1.0E-5	707.3189	1.0E-5	1607.9514	2058.4958	1259.2783	2924.109	7658.5693	1.0E-5	1.0E-5	1.0E-5	1012.3743	1201.4514	1008.69727	1700.9496	1350.7953	5915.0454	1665.1886	1157.8859	3229.3528	2086.9421	1571.6023	3257.8843	1.0E-5	2327.8074	1105.7631	1010.6832	415407.84	407637.7	636081.9	496950.4	414719.7	479891.88	684457.0	719107.75	478907.56	669834.8	455986.56	663584.9	479220.75	440221.5	192739.34	167573.38	538239.25	389099.3	408639.53	636944.2	1.0E-5	1.0E-5	1.0E-5	11.12		584.3356	C93 - 11.12	0.0	11.08795
Trimethylamine oxide	162	4793136.0	3906928.0	6661646.0	160645.11	3417285.2	9642266.0	2918408.8	4101284.5	4437759.0	3699928.8	4901367.5	3226875.2	5531323.5	2199365.2	7373155.5	3511822.5	9390247.0	3542610.2	2931320.5	4399915.5	1.2436028E7	6619978.5	4193757.0	3218585.5	3481632.2	5369442.0	3315580.2	4085380.0	3288809.0	4485858.5	3390872.2	3073704.5	3772862.0	7628763.0	1.2084903E7	3756207.8	2601813.8	3468322.5	2851304.0	3154866.2	3440354.5	2062929.0	3246282.2	4700002.0	4102877.8	3087577.2	3290002.5	888404.44	9927847.0	3335620.2	4205255.5	6020267.5	1896709.2	8755968.0	5939751.0	5474543.5	2919878.8	3458245.2	3901186.2	7217096.5	5468977.5	2637809.0	4835693.5	1783634.6	2293295.2	3804768.8	3901372.5	5953375.0	5280657.5	6484318.5	9017553.0	6119839.5	3927336.0	4399039.0	8953778.0	6669276.0	4492573.5	1.0562044E7	3324494.0	5111366.5	3629193.8	2843336.2	6569221.0	2977094.2	4672790.0	5350985.5	3627760.5	8142268.0	4755042.0	4810228.0	3535710.2	4883115.0	1856888.6	6899449.5	3428095.2	2558291.8	3482250.0	9847150.0	5698206.5	6029606.5	4406254.0	7980647.5	2494925.8	2942882.0	3781893.5	4136102.8	3749357.5	1.4558348E7	2123307.2	9605520.0	6686091.5	8979873.0	7164594.0	2566481.8	2743833.8	6006565.0	8172664.0	7906930.5	5606738.5	9692738.0	2017597.9	6198821.0	5268598.0	4434866.0	5025768.5	7844953.0	3626823.2	5205527.0	4499661.5	6576610.0	3899545.5	4155617.0	2938075.8	1995459.0	2148023.5	3559257.0	3526744.2	1.6529637E7	1915349.2	7029686.0	6450904.5	2713384.5	2918286.5	4233570.0	7747887.5	2877525.5	3513534.8	4729923.5	6397954.0	3597257.0	3366885.2	4317757.5	1951154.4	3443133.8	4649887.5	3102407.8	1.7259352E7	5695305.0	4249401.0	3716325.2	4541436.0	5053615.5	4607549.5	4528121.5	4618587.5	4541096.0	4471066.5	4602985.5	4595036.5	4646024.5	4602947.0	4333290.5	4434442.0	4453658.0	4490338.5	4564996.0	4380961.5	4301998.5	4345382.5	4368148.5	4351779.5	4473473.5	713.30237	1.0E-5	1.0E-5	1.206	1184-78-7	76.0756	Trimethylamine oxide	0.0	1.0792
Capryloylglycine	162	86854.586	70218.805	34488.934	51196.945	66609.0	252621.69	101110.555	13292.134	49480.543	20187.357	74360.29	14217.578	210331.22	18514.7	27256.656	59869.83	130506.055	99641.85	48899.836	126703.5	77882.484	254829.61	82104.664	22495.268	25006.3	70293.3	76571.6	21618.752	69903.85	95343.52	34802.844	36235.836	96232.15	281832.7	166600.4	72738.95	29006.094	35864.195	58995.633	5633.5654	84362.91	14271.31	59569.426	104599.984	70804.1	14967.731	83351.44	22242.803	228335.98	132331.39	24009.746	18564.771	16322.676	324496.62	52096.293	93558.664	11354.342	16384.553	45287.035	108769.57	110987.79	65766.11	3482.5664	37233.53	62680.332	27328.697	7076.5127	68930.36	126512.89	92311.21	272225.3	141844.14	92884.08	104719.3	160824.53	166129.53	138800.78	155484.88	3369.0847	51169.16	77231.516	47140.516	100031.055	15711.622	44781.54	18004.2	20296.086	213944.2	248874.08	7966.9326	33534.152	74019.37	65192.22	286346.9	5663.9004	36203.043	35111.17	412496.75	88748.164	175218.12	39042.613	58636.6	39572.574	53218.67	25035.46	35264.6	23689.203	611487.2	35257.703	431001.62	167429.97	21379.39	134520.23	63410.426	19615.387	17634.21	458893.44	152153.53	152439.62	33469.73	61584.684	116243.8	60623.336	91133.914	78844.875	227181.7	70035.836	110404.695	9060.143	159967.7	24185.879	142214.78	65748.24	51853.797	23867.504	103233.72	12840.543	1166450.1	14822.865	99394.02	67121.48	49354.145	55577.504	25600.65	194686.42	4057.55	33721.383	72359.81	37687.324	113643.875	35599.8	52690.87	78483.11	65036.598	47900.105	14462.863	135672.16	158691.83	53677.637	39954.254	187719.12	71667.805	151842.06	132847.27	125439.65	121264.21	133860.75	123657.555	129612.91	119865.61	116217.26	123510.6	114092.0	115486.94	108749.06	112483.9	71918.55	118235.125	115260.03	119911.63	105656.94	99675.125	1.0E-5	1.0E-5	1.0E-5	1.289	14246-53-8	219.1702	Capryloylglycine	0.0	1.2944334
C104 - 16.337	96	1.0E-5	3510.2605	2696.965	1.0E-5	663.662	3210.6787	1.0E-5	933.77124	1.0E-5	8797.495	1.0E-5	475.2197	7253.677	6338.204	1548.5756	1.0E-5	5671.4624	1.0E-5	446.79752	31406.65	1168.283	572.51025	1452.1956	1.0E-5	2104.521	1.0E-5	5273.467	1378.7548	2652.244	3748.9343	1.0E-5	1426.9128	917.8473	12793.043	3477.944	1196.8544	2015.9105	513.21796	1.0E-5	1.0E-5	6046.254	4190.0713	2741.1934	1.0E-5	1598.4905	1276.9641	1821.468	609.146	544.216	1.0E-5	1829.5582	4295.015	1397.6925	1631.3734	500.78616	1186.8282	878.6809	531.6377	2947.5383	1.0E-5	6720.921	1000.9227	1.0E-5	1372.4823	1004.7594	1.0E-5	8075.3477	946.31067	7613.61	1.0E-5	1.0E-5	1838.3971	41230.21	1.0E-5	1780.8994	1016.18396	1.0E-5	1.0E-5	1.0E-5	3245.7825	3610.6807	4517.7964	1.0E-5	31233.363	1.0E-5	4599.3906	8421.175	1.0E-5	1.0E-5	1.0E-5	3522.49	4305.903	1607.4974	9032.707	4708.2935	965.5168	976.36395	742.08344	3062.6514	623.0982	1894.1062	6831.7256	12611.227	39828.926	1.0E-5	1.0E-5	1.0E-5	1.0E-5	8883.789	1.0E-5	205.77422	2733.3647	1.0E-5	907.8738	1.0E-5	1.0E-5	2448.264	1745.2521	1.0E-5	777.96655	1.0E-5	1.0E-5	1553.8676	728.1175	925.6118	597.18164	1.0E-5	7708.7134	1.0E-5	1409.868	1.0E-5	1990.5941	5007.748	1.0E-5	1.0E-5	563.1968	5604.3823	2789.0957	2327.5544	7493.2583	1.0E-5	2316.09	1.0E-5	1093.1932	1.0E-5	2088.1086	1.0E-5	44182.05	15916.774	1.0E-5	10224.044	1810.2837	1.0E-5	1.0E-5	1.0E-5	2521.4248	1.0E-5	1.0E-5	1.0E-5	1407.5631	15343.795	4385.5376	1.0E-5	1677.6704	10641.992	4563.0654	1.0E-5	1.0E-5	1.0E-5	3722.9707	1.0E-5	1.0E-5	3605.4697	1.0E-5	3264.2253	1.0E-5	1304.8541	1.0E-5	1153.4373	1.0E-5	2239.516	1012.0718	476.71976	1.0E-5	534.05743	16.337		775.5973	C104 - 16.337	0.0	16.344833
1,1-Dimethoxynonane	162	1021412.6	731856.5	1651781.5	579808.75	771220.5	3121133.2	496909.16	504446.97	550364.44	862734.06	1201197.6	531060.94	814044.0	435734.1	922164.75	891119.75	1745992.4	659648.44	417009.44	820361.6	3004594.8	1664725.8	756217.4	476519.66	739716.0	1119100.4	715519.7	820610.3	959607.3	572675.8	617288.8	525540.44	746434.9	1694711.1	2678052.8	693393.4	601530.1	670118.56	564508.4	877503.8	660733.8	453261.78	584629.7	1126716.1	1129761.5	272120.2	580947.0	220227.88	2005982.5	565717.56	492397.44	1109381.0	178604.28	929611.2	1086784.1	883410.8	501219.38	658673.1	577969.9	1735906.0	1099492.9	591051.75	812803.75	426365.7	284444.9	1135232.2	765304.75	1209476.0	1182763.0	665594.75	1470073.6	498447.7	702870.7	829234.44	1641636.4	1425480.8	749389.2	1800483.4	558402.5	1011614.06	955245.2	767765.6	1340734.9	412298.12	940445.6	910215.56	618389.0	1474466.5	1099324.2	765828.0	710710.4	706070.56	356019.2	1446607.0	512577.4	609484.5	680867.8	1727968.1	1533710.2	1584944.8	799894.56	1196085.2	554814.8	667893.5	826362.2	767423.7	1019296.7	2782045.5	537009.6	2730860.2	1341958.6	2450646.2	1008740.8	425028.38	580084.0	1058848.4	1469326.6	1900822.0	1158133.8	1943075.6	546497.6	1200657.4	915152.0	862433.9	788137.4	1644193.0	322542.34	1375201.4	893866.0	1211905.6	677371.44	945377.2	501602.03	430139.84	458511.53	758577.5	795952.5	5599882.5	309297.1	889135.2	682179.94	428768.53	572282.9	859478.8	835313.4	312904.72	420215.34	797007.2	859532.56	484371.72	674583.44	755984.1	422857.28	594967.0	786904.44	738531.2	6860354.5	1170448.2	709101.0	823962.56	677269.75	1233269.5	1266980.0	1026662.94	1051292.2	1023735.6	1090628.9	1041927.9	1040530.3	1070147.6	1057024.5	1021204.4	1067325.6	1044828.25	1089524.9	1084058.8	866618.5	916657.56	954563.5	919295.0	920520.94	984263.5	1.0E-5	1951.928	1.0E-5	1.145	18824-63-0	193.1549	1,1-Dimethoxynonane	0.0	1.1123166
(23S)-23,25-Dihydroxy-24-oxovitamine D3 23-(beta-glucuronide)	161	32296.438	26695.021	37889.355	144951.11	54551.51	78071.984	44463.918	9948.084	10498.359	47818.387	18142.393	39774.934	21845.531	47851.645	19300.309	87296.18	21252.16	105101.77	45720.07	22046.822	51911.082	36220.773	35538.707	48941.773	20945.242	33924.523	15343.692	10029.958	35973.414	29169.543	24607.977	57511.67	44406.953	26541.568	27132.074	22174.592	86605.195	31018.305	37821.812	67996.48	81362.984	37234.926	9790.707	34466.92	45019.434	21474.898	30211.314	51634.594	17432.86	101138.586	31978.129	35638.105	18413.11	17232.402	29628.842	42614.324	19752.889	17697.875	26523.16	10282.957	28122.643	34570.777	19402.693	118531.78	66393.7	24764.543	21547.826	30332.11	8705.003	18958.822	79081.7	14884.777	16532.5	13456.965	18573.31	30090.295	7944.0117	31511.225	49408.176	21485.484	25200.17	19674.531	43936.78	14088.51	31990.629	47493.65	31708.324	16336.338	45391.57	17311.191	163410.6	18100.158	24113.94	10158.489	60814.45	12920.257	26755.826	86624.49	44315.22	15354.201	44515.69	73566.8	36269.277	77670.234	68235.52	30561.65	44683.855	33748.84	24839.01	59325.03	22001.998	100902.55	19337.809	50025.945	39243.812	19475.615	43031.22	22480.465	37830.89	37727.35	69454.75	39387.836	22331.703	12901.272	51395.207	71744.484	12785.894	46211.082	68769.33	14904.42	25084.697	44607.95	20061.412	34691.176	24692.59	16443.768	60328.895	47486.875	59282.59	1.0E-5	8022.8657	49391.1	51156.414	36938.113	25334.818	66071.74	8805.312	71253.76	32161.29	20924.598	29599.057	22690.111	27071.346	66128.484	39055.156	90796.42	22580.805	36781.215	34169.895	20051.87	26205.033	47198.855	74590.71	61286.32	66190.58	58568.043	65994.086	54434.01	66568.586	61848.207	67288.305	59838.28	57470.758	67512.04	52111.84	67141.414	51635.98	52254.066	56262.004	59824.305	50755.473	50003.254	517.4407	494.2248	736.60754	12.32		627.2945	(23S)-23,25-Dihydroxy-24-oxovitamine D3 23-(beta-glucuronide)	0.0	12.3132
C125 - 11.042	108	959.84766	905.3253	5680.0264	1209.5829	1404.6896	1079.3405	1019.63104	2660.6665	2708.3816	1.0E-5	1.0E-5	1.0E-5	1386.31	1.0E-5	3576.8943	1118.587	963.7981	1108.0419	46386.95	1.0E-5	1.0E-5	1.0E-5	502.1145	1.0E-5	10119.169	3030.9277	1885.0504	1778.808	1068.7614	1282.1907	6359.4336	530.17816	4547.4653	1037.814	1.0E-5	4023.1772	1.0E-5	8910.516	1202.2981	1.0E-5	1.0E-5	1037.1456	794.3951	1.0E-5	1070.8867	1805.5425	1602.006	14234.672	1599.9718	22877.258	1.0E-5	1.0E-5	90206.84	1021.19727	809.413	1689.6974	446.87003	1446.2384	1538.9465	1462.7281	1124.6254	2345.138	1022.0137	1.0E-5	1136.2983	1710.3584	1380.362	1.0E-5	3412.3293	939.7159	1.0E-5	839.792	4936.9497	1043.1624	1947.6702	2062.8682	1.0E-5	4596.3564	1.0E-5	1.0E-5	4598.6665	1486.3856	2740.5222	1.0E-5	1694.9557	1.0E-5	1.0E-5	1939.6615	1105.6719	1.0E-5	1.0E-5	4201.0635	1.0E-5	2412.739	2359.245	1.0E-5	1.0E-5	2122.5193	1.0E-5	1270.5637	8629.05	1705.8368	4305.743	3057.4138	3063.1665	1968.0378	3141.0854	1.0E-5	1.0E-5	1.0E-5	5908.628	1.0E-5	5135.8037	1368.9155	860.21454	872.94257	2402.1042	23352.836	1463.4462	3933.8623	6031.721	1392.5714	5002.999	1333.4918	7548.054	44286.598	2264.0142	922.82404	1.0E-5	5629.3267	2462.2634	1742.2465	1504.1471	1401.3861	476.33804	1.0E-5	1005.98676	983.95306	1171.4968	2058.4958	1259.2783	2924.109	3303.9116	1.0E-5	1.0E-5	1.0E-5	1012.3743	2436.2224	1008.69727	1700.9496	2011.6327	2109.7664	1665.1886	1157.8859	3229.3528	2086.9421	1571.6023	3257.8843	1.0E-5	2327.8074	1105.7631	1010.6832	715501.5	429060.4	592799.8	425580.97	563637.25	588397.5	458653.5	453273.8	534708.9	411842.6	536968.56	527836.4	412002.9	514146.38	500074.1	501580.8	505594.38	336809.62	501794.53	404619.97	1.0E-5	1.0E-5	1.0E-5	11.042		584.336	C125 - 11.042	0.0	11.08795
Prolyl-Asparagine	126	32962.242	70467.766	10064.306	28920.225	33543.402	1346.9728	3094.451	20576.352	29457.92	72394.875	52014.223	42573.277	4128.9976	12096.883	2561.8718	80926.625	47770.273	2965.514	10316.947	76043.84	9423.552	1.0E-5	27932.32	115448.984	101583.78	61423.855	16363.928	25277.84	75256.445	2974.842	59810.574	1678.2345	51805.203	20019.188	25346.434	45701.027	1277.4957	28106.32	2172.1895	140875.88	4311.351	2985.1716	29420.719	11289.927	2264.8525	1812.4963	36195.336	74066.35	52214.695	24786.951	1457.3153	1484.1204	45802.902	3723.2915	1790.7177	6674.5327	4263.1357	34409.24	46282.44	44197.12	48185.55	6680.4634	830.262	1113.7108	5327.891	19740.355	14203.658	9682.408	12871.295	793.05853	4303.6084	45352.758	29373.697	16852.754	67003.96	39952.46	101488.31	31019.271	983.594	49753.47	45255.562	57797.793	10235.91	53520.69	4826.492	894.8364	13807.648	11418.986	1527.2556	21779.338	22946.164	18897.436	47117.453	33153.89	13035.589	6383.963	35662.426	3312.3123	19674.164	4025.3518	21826.588	89602.16	37260.066	32138.586	54317.168	38201.848	42752.504	23267.086	35894.277	3964.3953	1867.1514	24355.432	3147.3218	1363.0924	42143.418	18583.21	1897.5228	1953.4624	55194.754	12182.219	28277.166	32000.174	271247.9	57655.223	25351.467	1490.4077	26353.78	1930.2753	5296.7007	15288.913	20730.346	12431.515	42110.625	14174.518	88302.07	12572.94	1.0E-5	10612.579	22383.127	2013.4229	2855.667	22545.742	25326.365	7715.1084	15118.1	8576.903	20312.412	23248.992	19464.719	1.0E-5	23057.477	112946.27	32140.062	38842.992	66955.23	21761.502	44749.266	88563.484	6023.098	25567.914	12655.723	56472.58	45553.605	29771.787	9948.427	36250.164	36271.918	44906.996	35189.703	42683.734	32822.83	19835.166	41549.1	35907.293	19857.262	16037.012	41121.0	42252.9	24544.205	27678.734	42703.11	39356.62	1.0E-5	443.18246	1.0E-5	1.189		212.103	Prolyl-Asparagine	0.0	1.21165
